experiment_id,timestamp_utc,mode,fold,dataset,dataset_train_samples,dataset_test_samples,epochs_requested,epochs_completed,best_epoch,batch_size,learning_rate,final_learning_rate,lr_decay,lr_decay_every,weight_decay,early_stopping_patience,min_delta,noise_type,noise_std,salt_pepper_amount,latent_channels,max_samples,max_test_samples,resume_checkpoint,checkpoint_path,run_classification,classifier_epochs,classifier_batch_size,classifier_learning_rate,classifier_weight_decay,classifier_final_loss,classification_train_accuracy,classification_val_accuracy,classification_test_accuracy,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_psnr,val_psnr,test_psnr,figure_path,predictions_path,best_fold,is_best_fold,best_checkpoint_path,notes,model_type,fc_hidden_dim,fc_bottleneck_dim,resize_to,random_subset,loss_curve_path,conv_skip_connection_weight,l1_weight,sample_noise_per_batch,batch_noise_std_options,train_ssim,val_ssim,test_ssim,epoch_train_subset_min,epoch_train_subset_max,classifier_hidden_dims,classifier_dropout,skip_weight_calibration_applied,calibrated_skip_weight
1,2026-04-01T19:58:32.654156+00:00,single,1,CIFAR-10,4000,1000,10,10,10,32,0.001,0.001,1.0,0,0.0,0,0.0,gaussian,0.1,0.01,32,4000,1000,,,1,25,64,0.08,0.0001,17.815552937273022,0.1140625,0.09125,0.092,0.06370607622063504,0.06285996041889377,0.06275674134262187,0.25240062642678807,0.2507188872400597,0.25051295643663196,11.958191431239541,12.016258967810769,12.023396153346201,,,,,,custom numpy CDAE single run,,,,,,,,,,,,,,,,,,,
2,2026-04-01T20:09:30.805252+00:00,single,1,CIFAR-10,5000,1000,8,8,8,64,0.001,0.0006634204312890621,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,5000,1000,,experiments/checkpoints/cdae_script_run.npz,1,30,64,0.02,0.0001,1.2191593320468117,0.63025,0.335,0.344,0.04054035738055389,0.04016619601888687,0.040457324733527256,0.20134636172663734,0.2004150593615332,0.20114006247768557,13.921124271349099,13.961392966286395,13.930028386161295,,,,,,custom numpy fc denoiser single run,fc,512,128,16,1,reports\figures\full_loss_curve.png,,,,,,,,,,,,,
3,2026-04-01T20:20:21.752569+00:00,single,1,CIFAR-10,1500,500,2,2,2,64,0.001,0.0009025,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,1500,500,,experiments/checkpoints/cdae_script_run.npz,0,20,64,0.1,0.0001,,,,,0.04081385346796314,0.04139417707475073,0.0400390291697038,0.20202438829993555,0.20345558993242416,0.2000975491346753,13.89192399079562,13.830607468540725,13.975164614462672,,,,,,custom numpy fc denoiser single run,fc,512,128,16,1,reports\figures\full_loss_curve.png,,,,,,,,,,,,,
4,2026-04-01T20:21:25.805737+00:00,kfold_eval,1,CIFAR-10,1500,1000,8,,,64,0.001,,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,1500,1000,experiments/checkpoints/cdae_script_run.npz,experiments/checkpoints/cdae_script_run.npz,0,20,64,0.1,0.0001,,,,,,0.04098762280618017,,,0.20245400170453576,,,13.873472690974122,,,,,,,kfold evaluation only (no retraining),fc,512,128,16,1,,,,,,,,,,,,,,
5,2026-04-01T20:21:25.809753+00:00,kfold_eval,2,CIFAR-10,1500,1000,8,,,64,0.001,,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,1500,1000,experiments/checkpoints/cdae_script_run.npz,experiments/checkpoints/cdae_script_run.npz,0,20,64,0.1,0.0001,,,,,,0.04096247995568331,,,0.20239189696152193,,,13.876137581243864,,,,,,,kfold evaluation only (no retraining),fc,512,128,16,1,,,,,,,,,,,,,,
6,2026-04-01T20:21:25.816664+00:00,kfold_eval,3,CIFAR-10,1500,1000,8,,,64,0.001,,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,1500,1000,experiments/checkpoints/cdae_script_run.npz,experiments/checkpoints/cdae_script_run.npz,0,20,64,0.1,0.0001,,,,,,0.040816734611850564,,,0.2020315188574559,,,13.89161742314204,,,,,,,kfold evaluation only (no retraining),fc,512,128,16,1,,,,,,,,,,,,,,
7,2026-04-01T20:22:30.629914+00:00,kfold_eval,1,CIFAR-10,1500,1000,8,,,64,0.001,,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,1500,1000,experiments/checkpoints/cdae_script_run.npz,experiments/checkpoints/cdae_script_run.npz,0,20,64,0.1,0.0001,,,,,,0.04098762280618017,,,0.20245400170453576,,,13.873472690974122,,,,,,,kfold evaluation only (no retraining),fc,512,128,16,1,,,,,,,,,,,,,,
8,2026-04-01T20:22:30.631922+00:00,kfold_eval,2,CIFAR-10,1500,1000,8,,,64,0.001,,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,1500,1000,experiments/checkpoints/cdae_script_run.npz,experiments/checkpoints/cdae_script_run.npz,0,20,64,0.1,0.0001,,,,,,0.04096247995568331,,,0.20239189696152193,,,13.876137581243864,,,,,,,kfold evaluation only (no retraining),fc,512,128,16,1,,,,,,,,,,,,,,
9,2026-04-01T20:22:30.651452+00:00,kfold_eval,3,CIFAR-10,1500,1000,8,,,64,0.001,,0.95,1,5e-05,3,0.0,gaussian,0.1,0.01,32,1500,1000,experiments/checkpoints/cdae_script_run.npz,experiments/checkpoints/cdae_script_run.npz,0,20,64,0.1,0.0001,,,,,,0.040816734611850564,,,0.2020315188574559,,,13.89161742314204,,,,,,,kfold evaluation only (no retraining),fc,512,128,16,1,,,,,,,,,,,,,,
10,2026-04-01T20:27:17.571582+00:00,single,1,CIFAR-10,200,100,1,1,1,64,0.001,0.00098,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,32,200,100,,experiments/checkpoints/cdae_denoise_focus.npz,0,20,64,0.1,0.0001,,,,,0.04203008842046368,0.03606030618298293,0.04485689845784928,0.20501241040596463,0.18989551385691797,0.21179447220796221,13.764396963500454,14.429705900646594,13.481707581540231,,,,,,custom numpy fc denoiser single run,fc,1024,256,32,1,reports\figures\denoise_focus_loss_curve.png,,,,,,,,,,,,,
11,2026-04-01T20:28:36.323082+00:00,single,1,CIFAR-10,200,100,1,1,1,64,0.001,0.00098,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,32,200,100,,experiments/checkpoints/cdae_denoise_focus.npz,1,2,64,0.02,0.0001,1.6340629771113395,0.66875,0.225,0.23,0.04203008842046368,0.03606030618298293,0.04485689845784928,0.20501241040596463,0.18989551385691797,0.21179447220796221,13.764396963500454,14.429705900646594,13.481707581540231,,,,,,custom numpy fc denoiser single run,fc,1024,256,32,1,reports\figures\denoise_focus_loss_curve.png,,,,,,,,,,,,,
12,2026-04-01T20:39:20.863746+00:00,single,1,CIFAR-10,10000,2500,12,12,10,64,0.001,0.0007847167237347997,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,32,10000,2500,,experiments/checkpoints/cdae_denoise_focus.npz,1,30,64,0.02,0.0001,0.6262409641124727,0.879625,0.3005,0.3176,0.04253822345238604,0.04299420609051052,0.04248240037472473,0.20624796593514816,0.20735044270632874,0.20611259149970612,13.71220651737864,13.665900661054929,13.717909523774896,,,,,,custom numpy fc denoiser single run,fc,1024,256,32,1,reports\figures\denoise_focus_loss_curve.png,,,,,,,,,,,,,
13,2026-04-15T02:18:41.951990+00:00,single,1,CIFAR-10,600,200,2,2,2,64,0.001,0.001,1.0,0,0.0,0,0.0,gaussian,0.1,0.01,64,600,200,,experiments/checkpoints/tmp_psnr_skip07.npz,0,20,64,0.1,0.0001,,,,,0.010490879375629529,0.011297834566846987,0.010574554005808347,0.10242499390104706,0.1062912722985617,0.10283265048518563,19.79188106470249,19.470047888873086,19.757379404447356,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\tmp_psnr_skip07_loss.png,0.7,0.1,1,"0.05,0.1",,,,,,,,,
14,2026-04-15T02:20:46.604544+00:00,single,1,CIFAR-10,128,64,1,1,1,32,0.001,0.00098,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,64,128,64,,experiments/checkpoints/cdae_denoise_focus.npz,0,20,64,0.1,0.0001,,,,,0.01632322103353835,0.017450614199752763,0.016551825907296206,0.12776236156841478,0.13210077289612185,0.12865389969719615,17.8719413853169,17.581892828097214,17.81154090243374,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\denoise_focus_loss_curve.png,0.55,0.05,1,"0.05,0.1",,,,,,,,,
15,2026-04-15T02:58:27.783061+00:00,single,1,CIFAR-10,1000,250,30,5,1,64,0.001,0.0009039207967999998,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,64,1000,250,,experiments/checkpoints/cdae_denoise_focus.npz,1,30,64,0.02,0.0001,0.16719723538252024,0.99875,0.31,0.312,0.01639177867414524,0.01590311999506733,0.01551511763114636,0.1280303818401915,0.12610757310751536,0.12455969505079224,17.853739185189127,17.985176641250934,18.09244927371849,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\denoise_focus_loss_curve.png,0.55,0.05,1,"0.05,0.1",,,,,,,,,
16,2026-04-15T03:12:43.111474+00:00,single,1,CIFAR-10,10000,2500,30,9,5,64,0.001,0.0008337477621301496,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,64,10000,2500,,experiments/checkpoints/cdae_denoise_focus.npz,1,30,64,0.02,0.0001,0.6603696134590149,0.87025,0.2855,0.2896,0.010861418414966982,0.010939449431291258,0.010849752883246888,0.10421812901298402,0.104591822965714,0.10416214707487019,19.641134556340536,19.610045349467416,19.645801533052623,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\denoise_focus_loss_curve.png,0.7,0.1,1,"0.05,0.1",,,,,,,,,
17,2026-04-15T04:52:20.631033+00:00,single,1,CIFAR-10,10000,2500,30,30,30,64,0.001,0.0005454843193824369,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,64,10000,2500,,experiments/checkpoints/cdae_denoise_focus.npz,1,30,64,0.02,0.0001,0.6702846322807311,0.86625,0.287,0.2924,0.01613040982324504,0.016274888875250894,0.016101597874325274,0.1270055503639311,0.12757307268875706,0.12689207175519387,17.92354598406894,17.884819681072422,17.93131023746508,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\denoise_focus_loss_curve.png,0.55,0.05,1,"0.05,0.1",,,,,,,,,
18,2026-04-15T15:44:54.883490+00:00,single,1,CIFAR-10,1000,250,30,5,1,64,0.001,0.0009039207967999998,0.98,1,2e-05,4,1e-05,gaussian,0.1,0.01,64,1000,250,,experiments/checkpoints/cdae_denoise_focus.npz,1,30,64,0.02,0.0001,0.16566792699557084,1.0,0.305,0.312,0.010886792996789917,0.010666180379883433,0.01048164358941883,0.10433979584410695,0.10327720164626573,0.1023798983659333,19.631000347454886,19.71991076069829,19.79570611832462,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\denoise_focus_loss_curve.png,0.7,0.1,1,"0.05,0.1",,,,,,,,,
19,2026-04-15T19:51:11.846973+00:00,single,1,CIFAR-10,2500,800,40,40,40,64,0.001,0.0006689717585696801,0.99,1,2e-05,8,0.0,gaussian,0.1,0.01,96,2500,800,,experiments/checkpoints/cdae_denoise_focus.npz,1,30,64,0.02,0.0001,0.2705917021967471,0.9845,0.296,0.295,0.010923851283933682,0.010945099809142288,0.01093621038830148,0.10451722960322705,0.10461883104461782,0.10457633761182059,19.616242209276365,19.607802737157755,19.611331435024596,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\denoise_focus_loss_curve.png,0.7,0.1,0,0.1,,,,,,,,,
20,2026-04-16T00:24:54.222381+00:00,single,1,CIFAR-10,500,100,40,40,40,64,0.001,0.0006689717585696801,0.99,1,2e-05,8,0.0,gaussian,0.1,0.01,96,500,100,,experiments/checkpoints/cdae_denoise_focus.npz,1,30,64,0.02,0.0001,0.11048958386693683,1.0,0.21,0.27,0.011049462713100169,0.011600629739371864,0.01125353778558864,0.10511642456390993,0.10770621959465417,0.10608269314826355,19.566588393009404,19.355184344876637,19.48710926510147,,,,,,custom numpy conv denoiser single run,conv,512,128,32,1,reports\figures\denoise_focus_loss_curve.png,0.7,0.1,0,0.1,,,,,,,,,
