experiment_id,run_type,mode,k_folds,epochs,batch_size,learning_rate,noise_type,noise_std,latent_channels,max_samples,max_test_samples,train_mse,val_mse,test_mse,train_psnr,val_psnr,test_psnr,classification_train_accuracy,classification_val_accuracy,classification_test_accuracy,notes,train_ssim,val_ssim,test_ssim
1,script_single,single,1,2,64,0.001,gaussian,0.1,32,1500,500,0.040814,0.041394,0.040039,13.891924,13.830607,13.975165,,,,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_script_run.npz,,,
2,script_kfold_eval,kfold_eval,3,8,64,0.001,gaussian,0.1,32,1500,1000,,0.040922,,,13.880409,,,,,script run means; mode=kfold_eval; best_fold=3; best_checkpoint=experiments\checkpoints\cdae_script_run.npz,,,
3,script_kfold_eval,kfold_eval,3,8,64,0.001,gaussian,0.1,32,1500,1000,,0.040922,,,13.880409,,,,,script run means; mode=kfold_eval; best_fold=3; best_checkpoint=experiments\checkpoints\cdae_script_run.npz,,,
4,script_single,single,1,1,64,0.001,gaussian,0.1,32,200,100,0.042030,0.036060,0.044857,13.764397,14.429706,13.481708,,,,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
5,script_single,single,1,1,64,0.001,gaussian,0.1,32,200,100,0.042030,0.036060,0.044857,13.764397,14.429706,13.481708,0.668750,0.225000,0.230000,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
6,script_single,single,1,12,64,0.001,gaussian,0.1,32,10000,2500,0.042538,0.042994,0.042482,13.712207,13.665901,13.717910,0.879625,0.300500,0.317600,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
7,script_single,single,1,1,32,0.001,gaussian,0.1,64,128,64,0.016323,0.017451,0.016552,17.871941,17.581893,17.811541,,,,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
8,script_single,single,1,30,64,0.001,gaussian,0.1,64,1000,250,0.016392,0.015903,0.015515,17.853739,17.985177,18.092449,0.998750,0.310000,0.312000,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
9,script_single,single,1,30,64,0.001,gaussian,0.1,64,10000,2500,0.016130,0.016275,0.016102,17.923546,17.884820,17.931310,0.866250,0.287000,0.292400,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
10,script_single,single,1,30,64,0.001,gaussian,0.1,64,1000,250,0.010887,0.010666,0.010482,19.631000,19.719911,19.795706,1.000000,0.305000,0.312000,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
11,script_single,single,1,40,64,0.001,gaussian,0.1,96,2500,800,0.010924,0.010945,0.010936,19.616242,19.607803,19.611331,0.984500,0.296000,0.295000,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
12,script_single,single,1,40,64,0.001,gaussian,0.1,96,500,100,0.011049,0.011601,0.011254,19.566588,19.355184,19.487109,1.000000,0.210000,0.270000,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
13,script_single,single,2,50,32,0.001,gaussian,0.1,96,5000,1000,0.010033,0.010388,0.010108,20.009066,19.880106,19.980763,0.740667,0.297000,0.336500,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
14,script_single,single,2,70,32,0.001,gaussian,0.1,128,5000,1000,0.008930,0.009169,0.008948,20.491929,20.378093,20.482779,0.691599,0.242000,0.280167,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
15,script_single,single,1,80,32,0.0008,gaussian,0.1,96,2000,500,0.009030,0.008989,0.008981,20.443351,20.462936,20.466930,0.469444,0.275000,0.284000,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
16,script_single,single,1,80,32,0.001,gaussian,0.1,96,96,24,0.008432,0.008446,0.008375,20.740663,20.733301,20.769903,0.883721,0.100000,0.166667,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
17,script_single,single,1,1,32,0.001,gaussian,0.1,96,100,20,0.008473,0.008571,0.008515,20.719673,20.669582,20.697986,,,,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
18,script_single,single,1,1,32,0.001,gaussian,0.1,96,100,20,0.008473,0.008571,0.008515,20.719673,20.669582,20.697986,,,,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
19,script_single,single,1,80,32,0.001,gaussian,0.05,96,96,24,0.002377,0.002410,0.002364,26.240314,26.179988,26.262888,0.906977,0.100000,0.250000,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
20,script_single,single,2,80,32,0.001,gaussian,0.05,96,5000,1000,0.002383,0.002398,0.002373,26.229412,26.201330,26.247892,0.915778,0.389000,0.322500,script run means; mode=single; best_fold=1; best_checkpoint=experiments\checkpoints\cdae_denoise_focus.npz,,,
